eres,linewidth,imax,width,length
1.446204261,0.086030768,4.15E-15,19.5745,93.3664
1.452324513,0.086167202,4.30E-15,19.0045,94.3664
1.692071167,0.085852599,7.47E-15,24.644,88.051
1.778755871,0.081007242,5.02E-15,24.3111,77.5111
1.901396608,0.244093973,3.78E-14,65,136
1.421142073,0.083701189,2.57E-15,17.1157,87.485
1.769752644,0.08391993,4.09E-15,24.0089,75.7003
2.095426105,0.197359464,4.90E-15,47,86
2.142352615,0.242187231,2.61E-15,47,79
1.790591084,0.079608474,4.07E-15,23.9057,73.5433
2.009656973,0.132201086,2.03E-15,30.9,69.5
1.428256834,0.085008283,3.31E-15,18.3431,91.1273
1.99911714,0.178696319,1.04E-14,46.5,97.6
2.102990416,0.202813414,5.02E-15,48.3,86.3
1.81364388,0.081991245,4.18E-15,24.1713,74.3903
1.458985868,0.082368244,2.65E-15,17.3176,85.126
1.985531351,0.158916537,1.06E-14,44,96
1.91240805,0.091511132,1.06E-15,22,58
2.072084451,0.200498748,7.56E-15,50,93
1.437628264,0.080448462,1.52E-15,15.8817,77.6958
1.780497502,0.083461824,5.89E-15,25.3225,80.0097
1.600576788,0.083376257,5.52E-15,21.7011,87.5111
1.594955484,0.080562133,4.17E-15,20.3749,83.0065
2.036624206,0.148830355,8.91E-16,28.3,61.7
1.789518217,0.083703561,5.27E-15,25.11,78.5268
1.398258833,0.084154846,2.35E-15,16.7157,88.085
1.995992354,0.135640909,2.21E-15,31.03,70.84
1.838209797,0.303663462,5.27E-14,74,156
1.396845521,0.084314089,2.41E-15,17.061,88.1253
1.909638694,0.352132935,5.07E-14,82,153
2.017341806,0.166039219,6.47E-15,42,88
1.638268049,0.081287109,5.06E-15,21.7548,83.556
1.948382729,0.352164171,4.57E-14,82,147
1.373091433,0.087407703,3.38E-15,18.0045,96.3664
1.487687381,0.079763656,2.07E-15,17.0345,78.9435
2.004907107,0.160495993,8.34E-15,43,92
1.872610828,0.246853215,4.20E-14,65.5,141
1.955790212,0.122467939,1.19E-15,25,62
1.946698112,0.256990052,3.35E-14,67,131.5
2.02040949,0.162828277,7.33E-15,43,90
2.085568155,0.179362416,2.86E-15,40.4,77.3
1.861999887,0.249543377,4.36E-14,66,143
1.946111163,0.273796357,3.62E-14,70,135
2.027559316,0.137446626,1.64E-15,31,67.5
1.750499289,0.079427028,4.65E-15,23.179,77.0011
1.955623299,0.170388981,1.25E-14,45,101
1.474621563,0.080381658,2.09E-15,16.5345,80.3435
1.913605845,0.233619288,3.47E-14,63,132
2.052541368,0.163149186,9.83E-16,30.12,63.48
1.971389382,0.143124738,6.31E-15,37,86
1.504496942,0.081181131,2.94E-15,18.2976,83.4191
1.416060775,0.084244842,2.74E-15,17.7254,88.5365
1.501368019,0.083583207,3.95E-15,19.0515,88.9567
2.019522043,0.191935045,1.14E-14,50,100
1.667174983,0.08801837,8.39E-15,25.2,91.5
1.85823827,0.347730817,5.57E-14,80.5,160
1.520806332,0.077637451,1.77E-15,16.237,74.8984
2.087055351,0.1845391,4.64E-15,45,84.4
1.965062823,0.415486802,5.13E-14,90,153
1.758684365,0.084533858,6.67E-15,25.8493,82.857
